id,category,common_name,slug,diagnostic,prompt,status
67,Other Freshwater Fish,Mooneye,mooneye,deep compressed bright silver body with a very large silver eye and a keeled belly,"Cartoon-style illustration of a Mooneye. deep compressed bright silver body with a very large silver eye and a keeled belly. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
68,Other Freshwater Fish,Goldeye,goldeye,deep compressed silver body with a striking gold-yellow eye and a fleshy keel along the belly,"Cartoon-style illustration of a Goldeye. deep compressed silver body with a striking gold-yellow eye and a fleshy keel along the belly. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
69,Other Freshwater Fish,American Shad,american_shad,"deep compressed silver body with a row of dark shoulder spots behind the gill, sharp sawtooth belly scutes, deeply forked tail","Cartoon-style illustration of an American Shad. deep compressed silver body with a row of dark shoulder spots behind the gill, sharp sawtooth belly scutes, deeply forked tail. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
70,Other Freshwater Fish,Hickory Shad,hickory_shad,silver compressed body with a lower jaw projecting well past the upper and a single faint shoulder spot,"Cartoon-style illustration of a Hickory Shad. silver compressed body with a lower jaw projecting well past the upper and a single faint shoulder spot. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
71,Other Freshwater Fish,White Sucker,white_sucker,"cylindrical olive-brown body fading to a white belly, ventral sucker mouth with thick fleshy lips","Cartoon-style illustration of a White Sucker. cylindrical olive-brown body fading to a white belly, ventral sucker mouth with thick fleshy lips. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
72,Other Freshwater Fish,Longnose Sucker,longnose_sucker,dark olive elongated sucker with a long fleshy snout overhanging the mouth,"Cartoon-style illustration of a Longnose Sucker. dark olive elongated sucker with a long fleshy snout overhanging the mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
73,Other Freshwater Fish,Redhorse Sucker,redhorse_sucker,"bronze-gold sucker body with bright red-orange tail and lower fins, thick-lipped ventral mouth","Cartoon-style illustration of a Redhorse Sucker. bronze-gold sucker body with bright red-orange tail and lower fins, thick-lipped ventral mouth. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
74,Turtles,Common Snapping Turtle,common_snapping_turtle,"massive head with a strongly hooked beak, rough ridged carapace, very long saw-toothed tail, small cross-shaped plastron","Cartoon-style illustration of a Common Snapping Turtle. massive head with a strongly hooked beak, rough ridged carapace, very long saw-toothed tail, small cross-shaped plastron. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
75,Turtles,Common Musk Turtle,common_musk_turtle,"small dark domed shell, two pale yellow stripes running along the head, small barbels beneath the chin","Cartoon-style illustration of a Common Musk Turtle. small dark domed shell, two pale yellow stripes running along the head, small barbels beneath the chin. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
76,Turtles,Painted Turtle,painted_turtle,"smooth flattened olive shell edged with red bars on the marginal scutes, yellow head stripes, red-orange plastron","Cartoon-style illustration of a Painted Turtle. smooth flattened olive shell edged with red bars on the marginal scutes, yellow head stripes, red-orange plastron. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
77,Turtles,Red-Eared Slider,red_eared_slider,olive-green shell with yellow striping and a prominent broad red stripe just behind each eye,"Cartoon-style illustration of a Red-Eared Slider. olive-green shell with yellow striping and a prominent broad red stripe just behind each eye. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
78,Turtles,Map Turtle,map_turtle,"olive shell marked with fine contour-line map patterning, a raised keel ridge down the back, thin yellow head lines","Cartoon-style illustration of a Map Turtle. olive shell marked with fine contour-line map patterning, a raised keel ridge down the back, thin yellow head lines. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
79,Turtles,Spiny Softshell Turtle,spiny_softshell_turtle,"flat leathery pancake-shaped olive shell with small spines along the front edge, long neck and a tubular snorkel snout","Cartoon-style illustration of a Spiny Softshell Turtle. flat leathery pancake-shaped olive shell with small spines along the front edge, long neck and a tubular snorkel snout. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
80,Turtles,Florida Softshell Turtle,florida_softshell_turtle,"dark grey-brown leathery shell with a bumpy front margin, very wide flattened body, long neck and tubular snout","Cartoon-style illustration of a Florida Softshell Turtle. dark grey-brown leathery shell with a bumpy front margin, very wide flattened body, long neck and tubular snout. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
81,Turtles,Alligator Snapping Turtle,alligator_snapping_turtle,"three prominent ridged keels running down a spiked carapace, enormous armored head with a strongly hooked beak, long tail","Cartoon-style illustration of an Alligator Snapping Turtle. three prominent ridged keels running down a spiked carapace, enormous armored head with a strongly hooked beak, long tail. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
82,Turtles,Diamondback Terrapin,diamondback_terrapin,"grey shell marked with concentric diamond growth rings, pale grey skin covered in fine black speckles","Cartoon-style illustration of a Diamondback Terrapin. grey shell marked with concentric diamond growth rings, pale grey skin covered in fine black speckles. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
83,Turtles,Chicken Turtle,chicken_turtle,"very long striped neck, narrow oval shell with a fine net-like pattern, bold yellow striping on the hind legs","Cartoon-style illustration of a Chicken Turtle. very long striped neck, narrow oval shell with a fine net-like pattern, bold yellow striping on the hind legs. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
84,Turtles,Spotted Turtle,spotted_turtle,"small smooth black shell scattered with round bright yellow spots, black head with yellow spots","Cartoon-style illustration of a Spotted Turtle. small smooth black shell scattered with round bright yellow spots, black head with yellow spots. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
85,Turtles,Box Turtle,box_turtle,"high domed shell with radiating orange and yellow patterning, hinged plastron that closes tight","Cartoon-style illustration of a Box Turtle. high domed shell with radiating orange and yellow patterning, hinged plastron that closes tight. Three-quarter view from slightly above and in front, angled to the left, showing the full carapace pattern and the head, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
86,Amphibians & Other,American Bullfrog,american_bullfrog,"large green-brown frog with a prominent round eardrum behind the eye, no ridges along the back, heavily webbed hind feet","Cartoon-style illustration of an American Bullfrog. large green-brown frog with a prominent round eardrum behind the eye, no ridges along the back, heavily webbed hind feet. Three-quarter view from the front and slightly above, facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
87,Amphibians & Other,American Eel,american_eel,long snake-like bronze-olive body with a single continuous dorsal fin running to the tail and small rounded pectoral fins,"Cartoon-style illustration of an American Eel. long snake-like bronze-olive body with a single continuous dorsal fin running to the tail and small rounded pectoral fins. Lateral view held in a gentle S-curve so the full length fits the frame, head to the left, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
88,Amphibians & Other,Crayfish,crayfish,"red-brown lobster-like crustacean with large front claws, segmented body and a fanned tail","Cartoon-style illustration of a Crayfish. red-brown lobster-like crustacean with large front claws, segmented body and a fanned tail. Top-down dorsal view with the claws forward, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
89,Amphibians & Other,Freshwater Mussel,freshwater_mussel,elongated oval bivalve shell in dark brown with visible concentric growth rings and iridescent nacre at the opening,"Cartoon-style illustration of a Freshwater Mussel. elongated oval bivalve shell in dark brown with visible concentric growth rings and iridescent nacre at the opening. Three-quarter view of the closed shell tilted to show the growth rings and a sliver of the nacre inside, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
90,Amphibians & Other,Freshwater Shrimp,freshwater_shrimp,small translucent grey shrimp with a curved body and long antennae,"Cartoon-style illustration of a Freshwater Shrimp. small translucent grey shrimp with a curved body and long antennae. Full lateral profile facing left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
91,Amphibians & Other,Salamander,salamander,"elongated smooth-skinned amphibian with four short legs, a long tail, and mottled dark markings","Cartoon-style illustration of a Salamander. elongated smooth-skinned amphibian with four short legs, a long tail, and mottled dark markings. Three-quarter view from above, angled to the left, entire animal inside the frame, clean bold outlines, smooth soft shading, slightly saturated natural coloration, flat plain white background, no water, no scenery, no shadow, no text or labels, even lighting from the upper left, centered",
